Date,Trend,Seasonal,Residual
2002-01-01,32420.270257111253,-222.21321472600005,-1117.3179119504675
2002-01-02,32405.57351036655,1888.266098929808,-32.29794262969517
2002-01-03,32386.653427383117,1110.1696235399927,1015.0519490768893
2002-01-04,32364.83008695916,694.0816299878584,656.5466163863202
2002-01-05,32340.41789308569,-1940.0101916428027,4.717298557112372
2002-01-06,32309.07002086267,-2306.761477539185,321.2747900098475
2002-01-07,32248.45589785672,875.6244371520283,209.75299832458768
2002-01-08,32084.871145424582,139.8097766215039,2138.235744620575
2002-01-09,31787.71650985941,1475.2031762964048,513.2469805108522
2002-01-10,31512.074843100774,887.8996708358254,-928.4328472699308
2002-01-11,31253.84464453267,527.3225247418632,-833.6255026078652
2002-01-12,31019.19272294585,-1618.531706222627,-933.7860167232211
2002-01-13,30859.215377217053,-2305.1765410694557,-501.20550281426404
2002-01-14,30841.916378235746,921.5424413254404,-160.5004862278547
2002-01-15,30969.258550256796,567.0194587926366,-312.48634238276645
2002-01-16,31155.281594948094,1106.7434003836631,-252.27499533175796
2002-01-17,31310.880384587796,715.4942006308851,-145.08291855201242
2002-01-18,31399.636625111994,356.0377179486587,287.4506569393452
2002-01-19,31410.104338687786,-1397.1232519524174,1913.3522465979622
2002-01-20,31346.498763962263,-2322.513554491004,458.93145719540917
2002-01-21,31198.497939766006,975.1263116849627,261.2924152156993
2002-01-22,30953.38667965583,866.9828099722894,-280.7444896281195
2002-01-23,30610.82310336111,720.7427406353759,162.7674893368494
2002-01-24,30193.93081838957,625.9814677871248,-204.1622861766955
2002-01-25,29768.26933421825,195.4334103830314,220.13058873205227
2002-01-26,29418.100583485877,-1244.2981975883272,-97.13571923088239
2002-01-27,29173.52620387488,-2422.282298211851,-105.66057232969615
2002-01-28,29054.72811343932,937.6556530362934,-504.5504331422817
2002-01-29,29071.872083900682,1371.07281153822,-1414.7365621055687
2002-01-30,29228.34796826233,731.5370990775422,-1385.051734006538
2002-01-31,29522.983137207466,971.9489902631458,-119.09879413728049
2002-02-01,29921.720842372102,191.4173393406627,-450.2631817127658
2002-02-02,30351.555742260207,-1912.8870137354584,208.41460480858223
2002-02-03,30739.263953601654,-2761.753069356145,621.2391157544916
2002-02-04,31021.37406727668,868.1021983987439,674.1904009912432
2002-02-05,31159.37010858923,1912.5897828926902,1882.248441851414
2002-02-06,31170.25328057085,850.0649483256408,949.7234377701716
2002-02-07,31099.19404830753,1220.623226928612,-94.73394190281033
2002-02-08,30979.34191468451,264.854931786115,-414.53017980395816
2002-02-09,30856.124130255317,-2469.8761627258555,-662.8313008627956
2002-02-10,30749.28513596679,-2934.941310425508,-1026.802158874616
2002-02-11,30653.41965311764,873.1215723495415,-660.0412254671792
2002-02-12,30585.613136275835,2034.639210473808,288.37265325035696
2002-02-13,30542.019760643514,1053.7281087789581,369.41879724419414
2002-02-14,30492.024069865256,1258.8057330922443,1424.7951970424983
2002-02-15,30390.04558635644,428.405132306127,846.2576146707652
2002-02-16,30188.23799628441,-2498.3419509691325,-837.8127119819437
2002-02-17,29899.91386633165,-3140.5560687538978,123.89220242224474
2002-02-18,29608.124220988317,887.8524556425524,433.1483233691324
2002-02-19,29383.62411585039,1767.769643219477,4.439574263466056
2002-02-20,29221.1194409996,1180.1141891470656,-727.066963479996
2002-02-21,29093.195319869534,1287.1654465675767,-1826.235766437112
2002-02-22,29018.419179170352,541.750426438605,-505.5446056089568
2002-02-23,29052.042289573063,-2462.2094359078706,1017.2504796681387
2002-02-24,29233.597057050672,-3325.620367911281,1125.9816441939402
2002-02-25,29516.323925386383,1259.5999775924936,-855.882236312209
2002-02-26,29780.642587038135,1851.6701785886817,-2312.8960989601474
2002-02-27,29973.85085793865,1248.5495731400224,188.47456892132686
2002-02-28,30128.58653533688,877.4076069383909,1753.1308577247291
2002-03-01,30272.472725295396,199.8997790753974,1064.5858289625394
